"mot","genre","lemme","phonétique","custom_freq_index","définitions","display_date"
"abaca","m","abaca","abaka","0.002","Bananier des Philippines de la famille des musacées, dont les feuilles fournissent le chanvre de Manille, une matière textile. | Fibre textile tirée du bananier du même nom, appelée aussi chanvre de Manille ou tagal.",""
"abaisse","f","abaisse","abEs","0.005","Morceau de pâte amincie avec un rouleau à pâtisserie et qui forme la croûte inférieure d'une pâtisserie et servant à foncer un moule.",""
"abaisse-langue","m","abaisse-langue","abEsl@g","0.115","Instrument, en forme de palette, servant à abaisser la langue pour l'examen de la bouche et de la gorge.",""
"abalone","m","abalone","abalOn","0.029","Mollusque mangeable de la famille des Haliotidae.",""
"abaque","m","abaque","abak","0.053","Compteur à boules chinois pour le calcul. | Tailloir, partie supérieure du chapiteau des colonnes sur laquelle porte l'architrave. | Tableau couvert de sable fin, sur lequel on traçait des nombres pour enseigner le calcul ou la géométrie. | Diagramme, graphique donnant par simple lecture la solution approchée d'un problème numérique. | En logique, tableau servant à tirer les conséquences logiques de prémisses données. | Table de jeu divisée en compartiments et se rapprochant de nos damiers, de nos échiquiers.",""
"abat-son","m","abat-son","abas§","0.202","Ensemble des lames obliques disposées dans les baies des beffrois des églises, les garantissant de la pluie et renvoyant le son vers le sol.",""
"abbatiale","f","abbatiale","abasjal","0.105","Maison abbatiale.",""
"aber","m","aber","abe","0.062","Vallée d'un petit fleuve côtier envahie par la mer .",""
"abécédaire","m","abécédaire","abesedER","0.098","Livre dans lequel on apprend à lire.",""
"ablatif","m","ablatif","ablatif","0.105","Matériaux-Thermique Propre à l'ablation. | Cas exprimant généralement le lieu depuis lequel se produit un déplacement, dans certaines langues comme le latin.",""
"able","m","able","abl","0.275","Petit poisson d'eau douce comestible, dont les écailles servent à la fabrication des fausses perles. Ce terme regroupe plusieurs espèces de poissons de la famille des Cyprinidés.",""
"abolitionniste","","abolitionniste","abolisjonist","0.056","qui est en faveur de l'abolition (de l'esclavage, de la peine de mort…) | Se dit, aux États-Unis, des partisans de l'abolition de l'esclavage.",""
"aborigène","","aborigène","aboRiZEn","0.154","Qui est originaire du pays où il vit. | Relatif aux Aborigènes d'Australie.",""
"abornement","m","abornement","abORn°m@","0.053","Effet de cette action.",""
"aboulie","f","aboulie","abuli","0.105","Trouble mental caractérisé par une perte de la volonté et une grande difficulté à se décider, à agir.",""
"aboulique","","aboulique","abulik","0.053","Qui est atteint d'aboulie, atteint de troubles entrainant une perte de volonté ou une grande indécision.",""
"aboyeur","m","aboyeur","abwaj9R","0.37","Chien qui aboie à la vue du sanglier, sans en approcher. | appelle les voitures.",""
"abrasif","m","abrasif","abRazif","0.316","Substance susceptible d'user, de polir par frottement. | Qui use, polit par frottement.",""
"abraxas","m","abraxas","abRaksas","0.072","Classe d'objets, tels que statuettes, plaques métalliques et surtout pierres gravées, sur lesquels on lit plusieurs lettres grecques, dont la réunion forme le mot abraxas ou abrasax, qui n'appartient à aucune langue.",""
